problem_id,choice_label,value,misconception,cognitive_tag,explanation
amc8_1985_p11,B,\mathrm{U},diagram_misread,formula_selection,Choice B is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1985_p11,C,\mathrm{V},unit_error,diagram_reasoning,Choice C is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1985_p11,D,\mathrm{W},radius_diameter_confusion,formula_selection,Choice D is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1985_p12,A,24 \mathrm{~cm}^{2},formula_confusion,diagram_reasoning,Choice A is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1985_p12,C,48 \mathrm{~cm}^{2},diagram_misread,formula_selection,Choice C is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1985_p12,D,64 \mathrm{~cm}^{2},unit_error,diagram_reasoning,Choice D is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1985_p12,E,144 \mathrm{~cm}^{2},radius_diameter_confusion,formula_selection,Choice E is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1985_p13,A,3.5 \text{ miles},additive_ratio_error,unit_rate_modeling,Choice A is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1985_p13,C,9 \text{ miles},ratio_flip,part_whole_reasoning,Choice C is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1985_p13,D,25 \dfrac{1}{3} \text{ miles},wrong_total,unit_rate_modeling,Choice D is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1985_p13,E,480 \text{ miles},scale_factor_error,part_whole_reasoning,Choice E is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1985_p14,A,\$.01,additive_ratio_error,unit_rate_modeling,Choice A is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1985_p14,C,\$.50,ratio_flip,part_whole_reasoning,Choice C is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1985_p14,D,\$ 1,wrong_total,unit_rate_modeling,Choice D is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1985_p14,E,\$ 10,scale_factor_error,part_whole_reasoning,Choice E is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1985_p15,A,100,factor_misread,divisibility,Choice A is a plausible distractor for number structure; compare it with the original AMC8 answer key.
amc8_1985_p15,B,120,divisibility_error,factor_structure,Choice B is a plausible distractor for number structure; compare it with the original AMC8 answer key.
amc8_1985_p15,D,140,place_value_error,divisibility,Choice D is a plausible distractor for number structure; compare it with the original AMC8 answer key.
amc8_1985_p15,E,148,operation_error,factor_structure,Choice E is a plausible distractor for number structure; compare it with the original AMC8 answer key.
amc8_1985_p16,A,1,additive_ratio_error,unit_rate_modeling,Choice A is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1985_p16,B,3,ratio_flip,part_whole_reasoning,Choice B is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1985_p16,C,5,wrong_total,unit_rate_modeling,Choice C is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1985_p16,E,10,scale_factor_error,part_whole_reasoning,Choice E is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1985_p17,A,86,mean_median_confusion,mean_vs_median,Choice A is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1985_p17,B,88,graph_misread,data_interpretation,Choice B is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1985_p17,C,90,wrong_total,mean_vs_median,Choice C is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1985_p17,E,92,unit_error,data_interpretation,Choice E is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1985_p18,A,\$ 1.07,additive_ratio_error,unit_rate_modeling,Choice A is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1985_p18,B,\$ 1.08,ratio_flip,part_whole_reasoning,Choice B is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1985_p18,C,\$ 1.09,wrong_total,unit_rate_modeling,Choice C is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1985_p18,D,\$ 1.10,scale_factor_error,part_whole_reasoning,Choice D is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1985_p19,A,1 \%,formula_confusion,diagram_reasoning,Choice A is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1985_p19,C,20 \%,diagram_misread,formula_selection,Choice C is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1985_p19,D,21 \%,unit_error,diagram_reasoning,Choice D is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1985_p19,E,40 \%,radius_diameter_confusion,formula_selection,Choice E is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1985_p20,A,Monday,operation_error,fluency_precision,Choice A is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1985_p20,B,Tuesday,structure_misread,operation_selection,Choice B is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1985_p20,D,Friday,near_miss,fluency_precision,Choice D is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1985_p20,E,Saturday,fluency_slip,operation_selection,Choice E is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1985_p21,A,less. than 40 \%,additive_ratio_error,unit_rate_modeling,Choice A is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1985_p21,B,40 \%,ratio_flip,part_whole_reasoning,Choice B is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1985_p21,C,44 \%,wrong_total,unit_rate_modeling,Choice C is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1985_p21,D,45 \%,scale_factor_error,part_whole_reasoning,Choice D is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1985_p22,A,\dfrac{1}{63} <p,additive_ratio_error,unit_rate_modeling,Choice A is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1985_p22,C,\dfrac{1}{81} <p,ratio_flip,part_whole_reasoning,Choice C is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1985_p22,D,\dfrac{1}{90} <p,wrong_total,unit_rate_modeling,Choice D is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1985_p22,E,\dfrac{1}{100},scale_factor_error,part_whole_reasoning,Choice E is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1985_p23,A,30,operation_error,fluency_precision,Choice A is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1985_p23,B,32,structure_misread,operation_selection,Choice B is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1985_p23,C,40,near_miss,fluency_precision,Choice C is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1985_p23,D,45,fluency_slip,operation_selection,Choice D is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1985_p24,A,36,formula_confusion,diagram_reasoning,Choice A is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1985_p24,B,37,diagram_misread,formula_selection,Choice B is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1985_p24,C,38,unit_error,diagram_reasoning,Choice C is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1985_p24,E,40,radius_diameter_confusion,formula_selection,Choice E is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1985_p25,B,4,mean_median_confusion,mean_vs_median,Choice B is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1985_p25,C,6,graph_misread,data_interpretation,Choice C is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1985_p25,D,\mathrm{P},wrong_total,mean_vs_median,Choice D is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1985_p25,E,\mathrm{Q},unit_error,data_interpretation,Choice E is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1985_p06,A,250,operation_error,fluency_precision,Choice A is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1985_p06,B,550,structure_misread,operation_selection,Choice B is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1985_p06,C,667,near_miss,fluency_precision,Choice C is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1985_p06,E,1250,fluency_slip,operation_selection,Choice E is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p01,B,\dfrac{366 \times 31}{24} <p,mean_median_confusion,mean_vs_median,Choice B is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1986_p01,C,\dfrac{366 \times 24}{31} <p,graph_misread,data_interpretation,Choice C is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1986_p01,D,\dfrac{31 \times 24}{366} <p,wrong_total,mean_vs_median,Choice D is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1986_p01,E,366 \times 31 \times 24,unit_error,data_interpretation,Choice E is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1986_p02,B,\dfrac{2}{5},operation_error,fluency_precision,Choice B is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p02,C,1,structure_misread,operation_selection,Choice C is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p02,D,5,near_miss,fluency_precision,Choice D is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p02,E,1986,fluency_slip,operation_selection,Choice E is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p03,A,-3,operation_error,fluency_precision,Choice A is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p03,B,-1,structure_misread,operation_selection,Choice B is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p03,D,5,near_miss,fluency_precision,Choice D is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p03,E,21,fluency_slip,operation_selection,Choice E is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p04,A,7,operation_error,fluency_precision,Choice A is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p04,B,42,structure_misread,operation_selection,Choice B is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p04,D,84,near_miss,fluency_precision,Choice D is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p04,E,737,fluency_slip,operation_selection,Choice E is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p05,A,10:00 p.m.,operation_error,fluency_precision,Choice A is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p05,B,midnight,structure_misread,operation_selection,Choice B is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p05,C,2:30 a.m.,near_miss,fluency_precision,Choice C is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p05,E,6:40 a.m.,fluency_slip,operation_selection,Choice E is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p06,A,-3,operation_error,fluency_precision,Choice A is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p06,B,-\dfrac{4}{3},structure_misread,operation_selection,Choice B is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p06,C,\dfrac{2}{3},near_miss,fluency_precision,Choice C is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p06,D,2,fluency_slip,operation_selection,Choice D is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p07,A,5,factor_misread,divisibility,Choice A is a plausible distractor for number structure; compare it with the original AMC8 answer key.
amc8_1986_p07,C,7,divisibility_error,factor_structure,Choice C is a plausible distractor for number structure; compare it with the original AMC8 answer key.
amc8_1986_p07,D,8,place_value_error,divisibility,Choice D is a plausible distractor for number structure; compare it with the original AMC8 answer key.
amc8_1986_p07,E,9,operation_error,factor_structure,Choice E is a plausible distractor for number structure; compare it with the original AMC8 answer key.
amc8_1986_p08,A,3,factor_misread,divisibility,Choice A is a plausible distractor for number structure; compare it with the original AMC8 answer key.
amc8_1986_p08,B,5,divisibility_error,factor_structure,Choice B is a plausible distractor for number structure; compare it with the original AMC8 answer key.
amc8_1986_p08,C,6,place_value_error,divisibility,Choice C is a plausible distractor for number structure; compare it with the original AMC8 answer key.
amc8_1986_p08,D,7,operation_error,factor_structure,Choice D is a plausible distractor for number structure; compare it with the original AMC8 answer key.
amc8_1986_p09,A,2,operation_error,fluency_precision,Choice A is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p09,B,3,structure_misread,operation_selection,Choice B is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p09,C,4,near_miss,fluency_precision,Choice C is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p09,D,5,fluency_slip,operation_selection,Choice D is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p10,A,1 \dfrac{1}{2},operation_error,fluency_precision,Choice A is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p10,C,9 \dfrac{1}{2},structure_misread,operation_selection,Choice C is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p10,D,16,near_miss,fluency_precision,Choice D is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p10,E,22,fluency_slip,operation_selection,Choice E is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p11,B,8,mean_median_confusion,mean_vs_median,Choice B is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1986_p11,C,12,graph_misread,data_interpretation,Choice C is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1986_p11,D,16,wrong_total,mean_vs_median,Choice D is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1986_p11,E,30,unit_error,data_interpretation,Choice E is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1986_p12,A,12 \%,formula_confusion,diagram_reasoning,Choice A is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1986_p12,B,25 \%,diagram_misread,formula_selection,Choice B is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1986_p12,C,33 \dfrac{1}{3} \%,unit_error,diagram_reasoning,Choice C is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1986_p12,E,50 \%,radius_diameter_confusion,formula_selection,Choice E is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1986_p13,A,14,formula_confusion,diagram_reasoning,Choice A is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1986_p13,B,20,diagram_misread,formula_selection,Choice B is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1986_p13,D,48,unit_error,diagram_reasoning,Choice D is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1986_p13,E,cannot be determined from the Information given,radius_diameter_confusion,formula_selection,Choice E is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1986_p14,A,\dfrac{3}{2},operation_error,fluency_precision,Choice A is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p14,B,3,structure_misread,operation_selection,Choice B is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p14,D,300,near_miss,fluency_precision,Choice D is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p14,E,600,fluency_slip,operation_selection,Choice E is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p15,A,\$ 54,additive_ratio_error,unit_rate_modeling,Choice A is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1986_p15,C,\$ 90,ratio_flip,part_whole_reasoning,Choice C is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1986_p15,D,\$ 108,wrong_total,unit_rate_modeling,Choice D is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1986_p15,E,\$ 110,scale_factor_error,part_whole_reasoning,Choice E is a plausible distractor for proportional reasoning; compare it with the original AMC8 answer key.
amc8_1986_p16,B,3,mean_median_confusion,mean_vs_median,Choice B is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1986_p16,C,3.5,graph_misread,data_interpretation,Choice C is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1986_p16,D,4,wrong_total,mean_vs_median,Choice D is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1986_p16,E,4.5,unit_error,data_interpretation,Choice E is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1986_p17,A,it is always odd,operation_error,equation_from_context,Choice A is a plausible distractor for equation solving; compare it with the original AMC8 answer key.
amc8_1986_p17,B,it is always even,structure_misread,inverse_operations,Choice B is a plausible distractor for equation solving; compare it with the original AMC8 answer key.
amc8_1986_p17,C,it is even onIy if n is even,near_miss,equation_from_context,Choice C is a plausible distractor for equation solving; compare it with the original AMC8 answer key.
amc8_1986_p17,D,it is odd only if n is odd,fluency_slip,inverse_operations,Choice D is a plausible distractor for equation solving; compare it with the original AMC8 answer key.
amc8_1986_p18,A,11,formula_confusion,diagram_reasoning,Choice A is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1986_p18,C,13,diagram_misread,formula_selection,Choice C is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1986_p18,D,14,unit_error,diagram_reasoning,Choice D is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1986_p18,E,16,radius_diameter_confusion,formula_selection,Choice E is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1986_p19,A,22.5,mean_median_confusion,mean_vs_median,Choice A is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1986_p19,B,22.6,graph_misread,data_interpretation,Choice B is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1986_p19,C,24.0,wrong_total,mean_vs_median,Choice C is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1986_p19,E,27.5,unit_error,data_interpretation,Choice E is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1986_p20,A,.003,operation_error,equation_from_context,Choice A is a plausible distractor for equation solving; compare it with the original AMC8 answer key.
amc8_1986_p20,B,.03,structure_misread,inverse_operations,Choice B is a plausible distractor for equation solving; compare it with the original AMC8 answer key.
amc8_1986_p20,C,.3,near_miss,equation_from_context,Choice C is a plausible distractor for equation solving; compare it with the original AMC8 answer key.
amc8_1986_p20,E,30,fluency_slip,inverse_operations,Choice E is a plausible distractor for equation solving; compare it with the original AMC8 answer key.
amc8_1986_p21,A,2,formula_confusion,diagram_reasoning,Choice A is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1986_p21,B,3,diagram_misread,formula_selection,Choice B is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1986_p21,C,4,unit_error,diagram_reasoning,Choice C is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1986_p21,D,5,radius_diameter_confusion,formula_selection,Choice D is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1986_p22,A,"Alan, Beth",operation_error,fluency_precision,Choice A is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p22,B,"Beth,Carlos",structure_misread,operation_selection,Choice B is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p22,D,"Alan,Diana",near_miss,fluency_precision,Choice D is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p22,E,"Beth, Diana",fluency_slip,operation_selection,Choice E is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1986_p23,A,between \dfrac{1}{2} and 1,formula_confusion,diagram_reasoning,Choice A is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1986_p23,C,between 1 and \dfrac{3}{2},diagram_misread,formula_selection,Choice C is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1986_p23,D,between \dfrac{3}{2} and 2,unit_error,diagram_reasoning,Choice D is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1986_p23,E,cannot be determined from the information given,radius_diameter_confusion,formula_selection,Choice E is a plausible distractor for geometric measurement; compare it with the original AMC8 answer key.
amc8_1986_p24,A,\dfrac{1}{27},case_omission,case_enumeration,Choice A is a plausible distractor for case enumeration; compare it with the original AMC8 answer key.
amc8_1986_p24,C,\dfrac{1}{8},overcounting,sample_space_modeling,Choice C is a plausible distractor for case enumeration; compare it with the original AMC8 answer key.
amc8_1986_p24,D,\dfrac{1}{6},order_confusion,case_enumeration,Choice D is a plausible distractor for case enumeration; compare it with the original AMC8 answer key.
amc8_1986_p24,E,\dfrac{1}{3},structure_misread,sample_space_modeling,Choice E is a plausible distractor for case enumeration; compare it with the original AMC8 answer key.
amc8_1986_p25,A,multiples of 2 between 1 and 101,mean_median_confusion,mean_vs_median,Choice A is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1986_p25,B,multiples of 3 between 1 and 101,graph_misread,data_interpretation,Choice B is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1986_p25,C,multiples of 4 between 1 and 101,wrong_total,mean_vs_median,Choice C is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1986_p25,E,multiples of 7 between 1 and 101,unit_error,data_interpretation,Choice E is a plausible distractor for data reasoning; compare it with the original AMC8 answer key.
amc8_1987_p01,A,.012,operation_error,fluency_precision,Choice A is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1987_p01,B,.066,structure_misread,operation_selection,Choice B is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1987_p01,C,.12,near_miss,fluency_precision,Choice C is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1987_p01,D,.24,fluency_slip,operation_selection,Choice D is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1987_p02,A,. 008,operation_error,fluency_precision,Choice A is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1987_p02,C,. 8,structure_misread,operation_selection,Choice C is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1987_p02,D,1.25,near_miss,fluency_precision,Choice D is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1987_p02,E,12.5,fluency_slip,operation_selection,Choice E is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1987_p03,A,1600,operation_error,fluency_precision,Choice A is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1987_p03,B,1650,structure_misread,operation_selection,Choice B is a plausible distractor for computation; compare it with the original AMC8 answer key.
amc8_1987_p03,C,1700,near_miss,fluency_precision,Choice C is a plausible distractor for computation; compare it with the original AMC8 answer key.
