id,statement,answer,answer_type,choices,difficulty,concepts,skills,patterns,misconceptions,solution,course,theme,chapter,chapter_title,sequence,source_collection,source_file,taxonomy_layer,taxonomy_stage,problem_type,cognitive_tags,estimated_time_seconds,notes
ise_devmath_whole_011,Compute 190 - 28 x 4.,78,multiple_choice,A:78|B:166|C:648|D:302|E:106,2,arith_natural_numbers,computation,operation_order;fluency_precision,operation_error;structure_misread,Use multiplication first: 28 x 4 = 112. Then 190 - 112 = 78.,Pre-Algebra,Number Systems and Operations,ise-devmath-01-whole-numbers,Whole Numbers and Order of Operations,2110,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 1 Whole Numbers,Foundation,Foundation,computation,operation_order;fluency_precision,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_whole_012,Compute 197 - 29 x 5.,52,multiple_choice,A:173|B:840|C:342|D:81|E:52,2,arith_natural_numbers,computation,operation_order;fluency_precision,operation_error;structure_misread,Use multiplication first: 29 x 5 = 145. Then 197 - 145 = 52.,Pre-Algebra,Number Systems and Operations,ise-devmath-01-whole-numbers,Whole Numbers and Order of Operations,2111,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 1 Whole Numbers,Foundation,Foundation,computation,operation_order;fluency_precision,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_whole_013,Compute 204 - 30 x 6.,24,multiple_choice,A:1044|B:384|C:54|D:24|E:180,2,arith_natural_numbers,computation,operation_order;fluency_precision,operation_error;structure_misread,Use multiplication first: 30 x 6 = 180. Then 204 - 180 = 24.,Pre-Algebra,Number Systems and Operations,ise-devmath-01-whole-numbers,Whole Numbers and Order of Operations,2112,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 1 Whole Numbers,Foundation,Foundation,computation,operation_order;fluency_precision,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_whole_014,Compute 211 - 31 x 7.,-6,multiple_choice,A:428|B:25|C:-6|D:187|E:1260,2,arith_natural_numbers,computation,operation_order;fluency_precision,operation_error;structure_misread,Use multiplication first: 31 x 7 = 217. Then 211 - 217 = -6.,Pre-Algebra,Number Systems and Operations,ise-devmath-01-whole-numbers,Whole Numbers and Order of Operations,2113,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 1 Whole Numbers,Foundation,Foundation,computation,operation_order;fluency_precision,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_whole_015,Compute 218 - 32 x 8.,-38,multiple_choice,A:-6|B:-38|C:194|D:1488|E:474,2,arith_natural_numbers,computation,operation_order;fluency_precision,operation_error;structure_misread,Use multiplication first: 32 x 8 = 256. Then 218 - 256 = -38.,Pre-Algebra,Number Systems and Operations,ise-devmath-01-whole-numbers,Whole Numbers and Order of Operations,2114,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 1 Whole Numbers,Foundation,Foundation,computation,operation_order;fluency_precision,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_whole_016,Compute 225 - 33 x 4.,93,multiple_choice,A:93|B:196|C:768|D:357|E:126,2,arith_natural_numbers,computation,operation_order;fluency_precision,operation_error;structure_misread,Use multiplication first: 33 x 4 = 132. Then 225 - 132 = 93.,Pre-Algebra,Number Systems and Operations,ise-devmath-01-whole-numbers,Whole Numbers and Order of Operations,2115,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 1 Whole Numbers,Foundation,Foundation,computation,operation_order;fluency_precision,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_integer_001,Compute 14 - 31 + 6.,-11,multiple_choice,A:-11|B:51|C:23|D:11|E:-17,2,arith_integers,computation,sign_error_risk;fluency_precision,operation_error;structure_misread,14 - 31 = -17. Then -17 + 6 = -11.,Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2220,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 2 Integers and Algebraic Expressions,Foundation,Foundation,computation,sign_error_risk;fluency_precision,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_integer_002,Compute 15 - 34 + 7.,-12,multiple_choice,A:56|B:26|C:12|D:-19|E:-12,2,arith_integers,computation,sign_error_risk;fluency_precision,operation_error;structure_misread,15 - 34 = -19. Then -19 + 7 = -12.,Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2221,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 2 Integers and Algebraic Expressions,Foundation,Foundation,computation,sign_error_risk;fluency_precision,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_integer_003,Compute 16 - 37 + 8.,-13,multiple_choice,A:29|B:13|C:-21|D:-13|E:61,2,arith_integers,computation,sign_error_risk;fluency_precision,operation_error;structure_misread,16 - 37 = -21. Then -21 + 8 = -13.,Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2222,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 2 Integers and Algebraic Expressions,Foundation,Foundation,computation,sign_error_risk;fluency_precision,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_integer_004,Compute 17 - 40 + 9.,-14,multiple_choice,A:14|B:-23|C:-14|D:66|E:32,3,arith_integers,computation,sign_error_risk;fluency_precision,operation_error;structure_misread,17 - 40 = -23. Then -23 + 9 = -14.,Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2223,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 2 Integers and Algebraic Expressions,Foundation,Foundation,computation,sign_error_risk;fluency_precision,90,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_integer_005,Compute 18 - 43 + 10.,-15,multiple_choice,A:-25|B:-15|C:71|D:35|E:15,3,arith_integers,computation,sign_error_risk;fluency_precision,operation_error;structure_misread,18 - 43 = -25. Then -25 + 10 = -15.,Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2224,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 2 Integers and Algebraic Expressions,Foundation,Foundation,computation,sign_error_risk;fluency_precision,90,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_integer_006,Compute 19 - 46 + 11.,-16,multiple_choice,A:-16|B:76|C:38|D:16|E:-27,3,arith_integers,computation,sign_error_risk;fluency_precision,operation_error;structure_misread,19 - 46 = -27. Then -27 + 11 = -16.,Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2225,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 2 Integers and Algebraic Expressions,Foundation,Foundation,computation,sign_error_risk;fluency_precision,90,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_integer_007,Compute 20 - 49 + 6.,-23,multiple_choice,A:75|B:35|C:23|D:-29|E:-23,3,arith_integers,computation,sign_error_risk;fluency_precision,operation_error;structure_misread,20 - 49 = -29. Then -29 + 6 = -23.,Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2226,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 2 Integers and Algebraic Expressions,Foundation,Foundation,computation,sign_error_risk;fluency_precision,90,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_integer_008,Compute 21 - 31 + 7.,-3,multiple_choice,A:17|B:3|C:-10|D:-3|E:59,3,arith_integers,computation,sign_error_risk;fluency_precision,operation_error;structure_misread,21 - 31 = -10. Then -10 + 7 = -3.,Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2227,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 2 Integers and Algebraic Expressions,Foundation,Foundation,computation,sign_error_risk;fluency_precision,90,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_integer_009,Compute 22 - 34 + 8.,-4,multiple_choice,A:4|B:-12|C:-4|D:64|E:20,3,arith_integers,computation,sign_error_risk;fluency_precision,operation_error;structure_misread,22 - 34 = -12. Then -12 + 8 = -4.,Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2228,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 2 Integers and Algebraic Expressions,Standard,Foundation,computation,sign_error_risk;fluency_precision,90,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_integer_010,Compute 23 - 37 + 9.,-5,multiple_choice,A:-14|B:-5|C:69|D:23|E:5,3,arith_integers,computation,sign_error_risk;fluency_precision,operation_error;structure_misread,23 - 37 = -14. Then -14 + 9 = -5.,Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2229,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 2 Integers and Algebraic Expressions,Standard,Foundation,computation,sign_error_risk;fluency_precision,90,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_integer_011,Compute 24 - 40 + 10.,-6,multiple_choice,A:-6|B:74|C:26|D:6|E:-16,3,arith_integers,computation,sign_error_risk;fluency_precision,operation_error;structure_misread,24 - 40 = -16. Then -16 + 10 = -6.,Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2230,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 2 Integers and Algebraic Expressions,Standard,Foundation,computation,sign_error_risk;fluency_precision,90,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_integer_012,Compute 25 - 43 + 11.,-7,multiple_choice,A:79|B:29|C:7|D:-18|E:-7,3,arith_integers,computation,sign_error_risk;fluency_precision,operation_error;structure_misread,25 - 43 = -18. Then -18 + 11 = -7.,Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2231,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 2 Integers and Algebraic Expressions,Standard,Foundation,computation,sign_error_risk;fluency_precision,90,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_integer_013,Compute 26 - 46 + 6.,-14,multiple_choice,A:26|B:14|C:-20|D:-14|E:78,3,arith_integers,computation,sign_error_risk;fluency_precision,operation_error;structure_misread,26 - 46 = -20. Then -20 + 6 = -14.,Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2232,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 2 Integers and Algebraic Expressions,Standard,Foundation,computation,sign_error_risk;fluency_precision,90,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_integer_014,Compute 27 - 49 + 7.,-15,multiple_choice,A:15|B:-22|C:-15|D:83|E:29,3,arith_integers,computation,sign_error_risk;fluency_precision,operation_error;structure_misread,27 - 49 = -22. Then -22 + 7 = -15.,Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2233,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 2 Integers and Algebraic Expressions,Standard,Foundation,computation,sign_error_risk;fluency_precision,90,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_integer_015,Compute 28 - 31 + 8.,5,multiple_choice,A:-3|B:5|C:67|D:11|E:-5,3,arith_integers,computation,sign_error_risk;fluency_precision,operation_error;structure_misread,28 - 31 = -3. Then -3 + 8 = 5.,Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2234,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 2 Integers and Algebraic Expressions,Standard,Foundation,computation,sign_error_risk;fluency_precision,90,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_integer_016,Compute 29 - 34 + 9.,4,multiple_choice,A:4|B:72|C:14|D:-4|E:-5,3,arith_integers,computation,sign_error_risk;fluency_precision,operation_error;structure_misread,29 - 34 = -5. Then -5 + 9 = 4.,Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2235,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 2 Integers and Algebraic Expressions,Standard,Foundation,computation,sign_error_risk;fluency_precision,90,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_abs_001,Evaluate |-12| - |-5|.,7,multiple_choice,A:7|B:-7|C:17|D:-17|E:12,2,arith_absolute_value;arith_integers,computation,number_line_distance;sign_error_risk,operation_error;structure_misread,"|- 12| = 12 and |- 5| = 5, so the value is 12 - 5 = 7.",Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2290,ise_developmental_math_2e,"datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; 2.1 Integers, Absolute Value, and Opposite",Foundation,Foundation,computation,number_line_distance;sign_error_risk,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_abs_002,Evaluate |-13| - |-6|.,7,multiple_choice,A:-7|B:19|C:-19|D:13|E:7,2,arith_absolute_value;arith_integers,computation,number_line_distance;sign_error_risk,operation_error;structure_misread,"|- 13| = 13 and |- 6| = 6, so the value is 13 - 6 = 7.",Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2291,ise_developmental_math_2e,"datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; 2.1 Integers, Absolute Value, and Opposite",Foundation,Foundation,computation,number_line_distance;sign_error_risk,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_abs_003,Evaluate |-14| - |-7|.,7,multiple_choice,A:21|B:-21|C:14|D:7|E:-7,2,arith_absolute_value;arith_integers,computation,number_line_distance;sign_error_risk,operation_error;structure_misread,"|- 14| = 14 and |- 7| = 7, so the value is 14 - 7 = 7.",Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2292,ise_developmental_math_2e,"datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; 2.1 Integers, Absolute Value, and Opposite",Foundation,Foundation,computation,number_line_distance;sign_error_risk,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_abs_004,Evaluate |-15| - |-8|.,7,multiple_choice,A:-23|B:15|C:7|D:-7|E:23,2,arith_absolute_value;arith_integers,computation,number_line_distance;sign_error_risk,operation_error;structure_misread,"|- 15| = 15 and |- 8| = 8, so the value is 15 - 8 = 7.",Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2293,ise_developmental_math_2e,"datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; 2.1 Integers, Absolute Value, and Opposite",Foundation,Foundation,computation,number_line_distance;sign_error_risk,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_abs_005,Evaluate |-16| - |-5|.,11,multiple_choice,A:16|B:11|C:-11|D:21|E:-21,2,arith_absolute_value;arith_integers,computation,number_line_distance;sign_error_risk,operation_error;structure_misread,"|- 16| = 16 and |- 5| = 5, so the value is 16 - 5 = 11.",Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2294,ise_developmental_math_2e,"datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; 2.1 Integers, Absolute Value, and Opposite",Foundation,Foundation,computation,number_line_distance;sign_error_risk,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_abs_006,Evaluate |-17| - |-6|.,11,multiple_choice,A:11|B:-11|C:23|D:-23|E:17,2,arith_absolute_value;arith_integers,computation,number_line_distance;sign_error_risk,operation_error;structure_misread,"|- 17| = 17 and |- 6| = 6, so the value is 17 - 6 = 11.",Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2295,ise_developmental_math_2e,"datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; 2.1 Integers, Absolute Value, and Opposite",Foundation,Foundation,computation,number_line_distance;sign_error_risk,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_abs_007,Evaluate |-18| - |-7|.,11,multiple_choice,A:-11|B:25|C:-25|D:18|E:11,2,arith_absolute_value;arith_integers,computation,number_line_distance;sign_error_risk,operation_error;structure_misread,"|- 18| = 18 and |- 7| = 7, so the value is 18 - 7 = 11.",Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2296,ise_developmental_math_2e,"datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; 2.1 Integers, Absolute Value, and Opposite",Foundation,Foundation,computation,number_line_distance;sign_error_risk,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_abs_008,Evaluate |-19| - |-8|.,11,multiple_choice,A:27|B:-27|C:19|D:11|E:-11,2,arith_absolute_value;arith_integers,computation,number_line_distance;sign_error_risk,operation_error;structure_misread,"|- 19| = 19 and |- 8| = 8, so the value is 19 - 8 = 11.",Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2297,ise_developmental_math_2e,"datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; 2.1 Integers, Absolute Value, and Opposite",Foundation,Foundation,computation,number_line_distance;sign_error_risk,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_abs_009,Evaluate |-20| - |-5|.,15,multiple_choice,A:-25|B:20|C:15|D:-15|E:25,2,arith_absolute_value;arith_integers,computation,number_line_distance;sign_error_risk,operation_error;structure_misread,"|- 20| = 20 and |- 5| = 5, so the value is 20 - 5 = 15.",Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2298,ise_developmental_math_2e,"datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; 2.1 Integers, Absolute Value, and Opposite",Foundation,Foundation,computation,number_line_distance;sign_error_risk,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_abs_010,Evaluate |-21| - |-6|.,15,multiple_choice,A:21|B:15|C:-15|D:27|E:-27,2,arith_absolute_value;arith_integers,computation,number_line_distance;sign_error_risk,operation_error;structure_misread,"|- 21| = 21 and |- 6| = 6, so the value is 21 - 6 = 15.",Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2299,ise_developmental_math_2e,"datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; 2.1 Integers, Absolute Value, and Opposite",Foundation,Foundation,computation,number_line_distance;sign_error_risk,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_abs_011,Evaluate |-22| - |-7|.,15,multiple_choice,A:15|B:-15|C:29|D:-29|E:22,2,arith_absolute_value;arith_integers,computation,number_line_distance;sign_error_risk,operation_error;structure_misread,"|- 22| = 22 and |- 7| = 7, so the value is 22 - 7 = 15.",Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2300,ise_developmental_math_2e,"datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; 2.1 Integers, Absolute Value, and Opposite",Foundation,Foundation,computation,number_line_distance;sign_error_risk,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_abs_012,Evaluate |-23| - |-8|.,15,multiple_choice,A:-15|B:31|C:-31|D:23|E:15,2,arith_absolute_value;arith_integers,computation,number_line_distance;sign_error_risk,operation_error;structure_misread,"|- 23| = 23 and |- 8| = 8, so the value is 23 - 8 = 15.",Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2301,ise_developmental_math_2e,"datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; 2.1 Integers, Absolute Value, and Opposite",Foundation,Foundation,computation,number_line_distance;sign_error_risk,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_abs_013,Evaluate |-24| - |-5|.,19,multiple_choice,A:29|B:-29|C:24|D:19|E:-19,2,arith_absolute_value;arith_integers,computation,number_line_distance;sign_error_risk,operation_error;structure_misread,"|- 24| = 24 and |- 5| = 5, so the value is 24 - 5 = 19.",Pre-Algebra,Number Systems and Operations,ise-devmath-02-integers,Integers and Absolute Value,2302,ise_developmental_math_2e,"datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; 2.1 Integers, Absolute Value, and Opposite",Foundation,Foundation,computation,number_line_distance;sign_error_risk,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
