id,statement,answer,answer_type,choices,difficulty,concepts,skills,patterns,misconceptions,solution,course,theme,chapter,chapter_title,sequence,source_collection,source_file,taxonomy_layer,taxonomy_stage,problem_type,cognitive_tags,estimated_time_seconds,notes,language,curriculum_system,region,display_track,grade_band,content_status
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-01-linear-equations_001,解方程：4x+2=22，x 的值是多少？,5,multiple_choice,A:5|B:20|C:6|D:-5|E:10,3,alg_linear_equations;prealg_expressions,one_variable_equation;inverse_operations,linear_equation_structure;equation_balance,inverse_operation_order_error;constant_term_error,先移项得 4x=20，再两边除以 4，得到 x=5。,CN Junior High Math,方程与代数,cn-junior-01-linear-equations,初中一元一次方程,24000,jianzisheng_cn_junior_chapter_expansion_v1,local-ocr-derived: cn_curriculum_pilot_v0; chapter=cn-junior-01-linear-equations; expansion=v1,Standard,Algebra Readiness,cn_linear_equation_solving,inverse_operations;symbolic_fluency,80,Chapter-level expansion from existing cleaned Jian Zi Sheng junior OCR coverage signals. Project-native original-equivalent variants; no direct textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,production
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-01-linear-equations_012,解方程：8x+6=62，x 的值是多少？,7,multiple_choice,A:56|B:8|C:-7|D:12|E:7,3,alg_linear_equations;prealg_expressions,one_variable_equation;inverse_operations,linear_equation_structure;equation_balance,inverse_operation_order_error;constant_term_error,先移项得 8x=56，再两边除以 8，得到 x=7。,CN Junior High Math,方程与代数,cn-junior-01-linear-equations,初中一元一次方程,24011,jianzisheng_cn_junior_chapter_expansion_v1,local-ocr-derived: cn_curriculum_pilot_v0; chapter=cn-junior-01-linear-equations; expansion=v1,Standard,Algebra Readiness,cn_linear_equation_solving,inverse_operations;symbolic_fluency,80,Chapter-level expansion from existing cleaned Jian Zi Sheng junior OCR coverage signals. Project-native original-equivalent variants; no direct textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,production
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-01-linear-equations_013,解方程：2x-6=10，x 的值是多少？,8,multiple_choice,A:5|B:9|C:-8|D:8|E:16,3,alg_linear_equations;prealg_expressions,one_variable_equation;inverse_operations,linear_equation_structure;equation_balance,inverse_operation_order_error;constant_term_error,先移项得 2x=16，再两边除以 2，得到 x=8。,CN Junior High Math,方程与代数,cn-junior-01-linear-equations,初中一元一次方程,24012,jianzisheng_cn_junior_chapter_expansion_v1,local-ocr-derived: cn_curriculum_pilot_v0; chapter=cn-junior-01-linear-equations; expansion=v1,Standard,Algebra Readiness,cn_linear_equation_solving,inverse_operations;symbolic_fluency,80,Chapter-level expansion from existing cleaned Jian Zi Sheng junior OCR coverage signals. Project-native original-equivalent variants; no direct textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,production
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-01-linear-equations_014,解方程：3x-1=26，x 的值是多少？,9,multiple_choice,A:-9|B:14|C:9|D:27|E:10,3,alg_linear_equations;prealg_expressions,one_variable_equation;inverse_operations,linear_equation_structure;equation_balance,inverse_operation_order_error;constant_term_error,先移项得 3x=27，再两边除以 3，得到 x=9。,CN Junior High Math,方程与代数,cn-junior-01-linear-equations,初中一元一次方程,24013,jianzisheng_cn_junior_chapter_expansion_v1,local-ocr-derived: cn_curriculum_pilot_v0; chapter=cn-junior-01-linear-equations; expansion=v1,Standard,Algebra Readiness,cn_linear_equation_solving,inverse_operations;symbolic_fluency,80,Chapter-level expansion from existing cleaned Jian Zi Sheng junior OCR coverage signals. Project-native original-equivalent variants; no direct textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,production
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-01-linear-equations_015,解方程：4x+4=44，x 的值是多少？,10,multiple_choice,A:15|B:10|C:40|D:11|E:-10,3,alg_linear_equations;prealg_expressions,one_variable_equation;inverse_operations,linear_equation_structure;equation_balance,inverse_operation_order_error;constant_term_error,先移项得 4x=40，再两边除以 4，得到 x=10。,CN Junior High Math,方程与代数,cn-junior-01-linear-equations,初中一元一次方程,24014,jianzisheng_cn_junior_chapter_expansion_v1,local-ocr-derived: cn_curriculum_pilot_v0; chapter=cn-junior-01-linear-equations; expansion=v1,Standard,Algebra Readiness,cn_linear_equation_solving,inverse_operations;symbolic_fluency,80,Chapter-level expansion from existing cleaned Jian Zi Sheng junior OCR coverage signals. Project-native original-equivalent variants; no direct textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,production
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-01-linear-equations_016,解方程：5x-8=47，x 的值是多少？,11,multiple_choice,A:11|B:55|C:9|D:12|E:-11,3,alg_linear_equations;prealg_expressions,one_variable_equation;inverse_operations,linear_equation_structure;equation_balance,inverse_operation_order_error;constant_term_error,先移项得 5x=55，再两边除以 5，得到 x=11。,CN Junior High Math,方程与代数,cn-junior-01-linear-equations,初中一元一次方程,24015,jianzisheng_cn_junior_chapter_expansion_v1,local-ocr-derived: cn_curriculum_pilot_v0; chapter=cn-junior-01-linear-equations; expansion=v1,Standard,Algebra Readiness,cn_linear_equation_solving,inverse_operations;symbolic_fluency,80,Chapter-level expansion from existing cleaned Jian Zi Sheng junior OCR coverage signals. Project-native original-equivalent variants; no direct textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,production
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-01-linear-equations_017,解方程：6x-3=15，x 的值是多少？,3,multiple_choice,A:18|B:4|C:-3|D:8|E:3,3,alg_linear_equations;prealg_expressions,one_variable_equation;inverse_operations,linear_equation_structure;equation_balance,inverse_operation_order_error;constant_term_error,先移项得 6x=18，再两边除以 6，得到 x=3。,CN Junior High Math,方程与代数,cn-junior-01-linear-equations,初中一元一次方程,24016,jianzisheng_cn_junior_chapter_expansion_v1,local-ocr-derived: cn_curriculum_pilot_v0; chapter=cn-junior-01-linear-equations; expansion=v1,Standard,Algebra Readiness,cn_linear_equation_solving,inverse_operations;symbolic_fluency,80,Chapter-level expansion from existing cleaned Jian Zi Sheng junior OCR coverage signals. Project-native original-equivalent variants; no direct textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,production
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-01-linear-equations_018,解方程：7x+2=30，x 的值是多少？,4,multiple_choice,A:5|B:-4|C:9|D:4|E:28,3,alg_linear_equations;prealg_expressions,one_variable_equation;inverse_operations,linear_equation_structure;equation_balance,inverse_operation_order_error;constant_term_error,先移项得 7x=28，再两边除以 7，得到 x=4。,CN Junior High Math,方程与代数,cn-junior-01-linear-equations,初中一元一次方程,24017,jianzisheng_cn_junior_chapter_expansion_v1,local-ocr-derived: cn_curriculum_pilot_v0; chapter=cn-junior-01-linear-equations; expansion=v1,Standard,Algebra Readiness,cn_linear_equation_solving,inverse_operations;symbolic_fluency,80,Chapter-level expansion from existing cleaned Jian Zi Sheng junior OCR coverage signals. Project-native original-equivalent variants; no direct textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,production
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-01-linear-equations_019,解方程：8x+7=47，x 的值是多少？,5,multiple_choice,A:-5|B:10|C:5|D:40|E:6,3,alg_linear_equations;prealg_expressions,one_variable_equation;inverse_operations,linear_equation_structure;equation_balance,inverse_operation_order_error;constant_term_error,先移项得 8x=40，再两边除以 8，得到 x=5。,CN Junior High Math,方程与代数,cn-junior-01-linear-equations,初中一元一次方程,24018,jianzisheng_cn_junior_chapter_expansion_v1,local-ocr-derived: cn_curriculum_pilot_v0; chapter=cn-junior-01-linear-equations; expansion=v1,Standard,Algebra Readiness,cn_linear_equation_solving,inverse_operations;symbolic_fluency,80,Chapter-level expansion from existing cleaned Jian Zi Sheng junior OCR coverage signals. Project-native original-equivalent variants; no direct textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,production
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-02-factorization_001,方程 x^2-3x-4=0 的两个根是多少？,-1或4,multiple_choice,A:-1或4|B:1或-4|C:3|D:-4|E:0或5,4,alg_factoring;alg_quadratics,quadratic_factorization;factor_pair_reasoning,trinomial_factor_pattern;structure_recognition,factor_pair_error;sign_error,该方程可分解为 (x--1)(x-4)=0，所以 x=-1 或 x=4。,CN Junior High Math,整式与因式分解,cn-junior-02-factorization,初中因式分解,24020,jianzisheng_cn_junior_chapter_expansion_v1,local-ocr-derived: cn_curriculum_pilot_v0; chapter=cn-junior-02-factorization; expansion=v1,Standard,Algebra Readiness,cn_factorization,factor_structure;structure_recognition,100,Chapter-level expansion from existing cleaned Jian Zi Sheng junior OCR coverage signals. Project-native original-equivalent variants; no direct textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,production
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-02-factorization_002,方程 x^2-6x+0=0 的两个根是多少？,0或6,multiple_choice,A:0或-6|B:6|C:0|D:1或7|E:0或6,4,alg_factoring;alg_quadratics,quadratic_factorization;factor_pair_reasoning,trinomial_factor_pattern;structure_recognition,factor_pair_error;sign_error,该方程可分解为 (x-0)(x-6)=0，所以 x=0 或 x=6。,CN Junior High Math,整式与因式分解,cn-junior-02-factorization,初中因式分解,24021,jianzisheng_cn_junior_chapter_expansion_v1,local-ocr-derived: cn_curriculum_pilot_v0; chapter=cn-junior-02-factorization; expansion=v1,Standard,Algebra Readiness,cn_factorization,factor_structure;structure_recognition,100,Chapter-level expansion from existing cleaned Jian Zi Sheng junior OCR coverage signals. Project-native original-equivalent variants; no direct textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,production
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-02-factorization_003,方程 x^2-9x+8=0 的两个根是多少？,1或8,multiple_choice,A:9|B:8|C:2或9|D:1或8|E:-1或-8,4,alg_factoring;alg_quadratics,quadratic_factorization;factor_pair_reasoning,trinomial_factor_pattern;structure_recognition,factor_pair_error;sign_error,该方程可分解为 (x-1)(x-8)=0，所以 x=1 或 x=8。,CN Junior High Math,整式与因式分解,cn-junior-02-factorization,初中因式分解,24022,jianzisheng_cn_junior_chapter_expansion_v1,local-ocr-derived: cn_curriculum_pilot_v0; chapter=cn-junior-02-factorization; expansion=v1,Standard,Algebra Readiness,cn_factorization,factor_structure;structure_recognition,100,Chapter-level expansion from existing cleaned Jian Zi Sheng junior OCR coverage signals. Project-native original-equivalent variants; no direct textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,production
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-02-factorization_004,方程 x^2-7x+10=0 的两个根是多少？,2或5,multiple_choice,A:10|B:3或6|C:2或5|D:-2或-5|E:7,4,alg_factoring;alg_quadratics,quadratic_factorization;factor_pair_reasoning,trinomial_factor_pattern;structure_recognition,factor_pair_error;sign_error,该方程可分解为 (x-2)(x-5)=0，所以 x=2 或 x=5。,CN Junior High Math,整式与因式分解,cn-junior-02-factorization,初中因式分解,24023,jianzisheng_cn_junior_chapter_expansion_v1,local-ocr-derived: cn_curriculum_pilot_v0; chapter=cn-junior-02-factorization; expansion=v1,Standard,Algebra Readiness,cn_factorization,factor_structure;structure_recognition,100,Chapter-level expansion from existing cleaned Jian Zi Sheng junior OCR coverage signals. Project-native original-equivalent variants; no direct textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,production
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-02-factorization_005,方程 x^2-10x+21=0 的两个根是多少？,3或7,multiple_choice,A:4或8|B:3或7|C:-3或-7|D:10|E:21,4,alg_factoring;alg_quadratics,quadratic_factorization;factor_pair_reasoning,trinomial_factor_pattern;structure_recognition,factor_pair_error;sign_error,该方程可分解为 (x-3)(x-7)=0，所以 x=3 或 x=7。,CN Junior High Math,整式与因式分解,cn-junior-02-factorization,初中因式分解,24024,jianzisheng_cn_junior_chapter_expansion_v1,local-ocr-derived: cn_curriculum_pilot_v0; chapter=cn-junior-02-factorization; expansion=v1,Standard,Algebra Readiness,cn_factorization,factor_structure;structure_recognition,100,Chapter-level expansion from existing cleaned Jian Zi Sheng junior OCR coverage signals. Project-native original-equivalent variants; no direct textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,production
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-02-factorization_006,方程 x^2+1x-6=0 的两个根是多少？,-3或2,multiple_choice,A:-3或2|B:3或-2|C:-1|D:-6|E:-2或3,4,alg_factoring;alg_quadratics,quadratic_factorization;factor_pair_reasoning,trinomial_factor_pattern;structure_recognition,factor_pair_error;sign_error,该方程可分解为 (x--3)(x-2)=0，所以 x=-3 或 x=2。,CN Junior High Math,整式与因式分解,cn-junior-02-factorization,初中因式分解,24025,jianzisheng_cn_junior_chapter_expansion_v1,local-ocr-derived: cn_curriculum_pilot_v0; chapter=cn-junior-02-factorization; expansion=v1,Standard,Algebra Readiness,cn_factorization,factor_structure;structure_recognition,100,Chapter-level expansion from existing cleaned Jian Zi Sheng junior OCR coverage signals. Project-native original-equivalent variants; no direct textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,production
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-02-factorization_007,方程 x^2-2x-8=0 的两个根是多少？,-2或4,multiple_choice,A:2或-4|B:2|C:-8|D:-1或5|E:-2或4,4,alg_factoring;alg_quadratics,quadratic_factorization;factor_pair_reasoning,trinomial_factor_pattern;structure_recognition,factor_pair_error;sign_error,该方程可分解为 (x--2)(x-4)=0，所以 x=-2 或 x=4。,CN Junior High Math,整式与因式分解,cn-junior-02-factorization,初中因式分解,24026,jianzisheng_cn_junior_chapter_expansion_v1,local-ocr-derived: cn_curriculum_pilot_v0; chapter=cn-junior-02-factorization; expansion=v1,Standard,Algebra Readiness,cn_factorization,factor_structure;structure_recognition,100,Chapter-level expansion from existing cleaned Jian Zi Sheng junior OCR coverage signals. Project-native original-equivalent variants; no direct textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,production
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-02-factorization_008,方程 x^2-5x-6=0 的两个根是多少？,-1或6,multiple_choice,A:5|B:-6|C:0或7|D:-1或6|E:1或-6,4,alg_factoring;alg_quadratics,quadratic_factorization;factor_pair_reasoning,trinomial_factor_pattern;structure_recognition,factor_pair_error;sign_error,该方程可分解为 (x--1)(x-6)=0，所以 x=-1 或 x=6。,CN Junior High Math,整式与因式分解,cn-junior-02-factorization,初中因式分解,24027,jianzisheng_cn_junior_chapter_expansion_v1,local-ocr-derived: cn_curriculum_pilot_v0; chapter=cn-junior-02-factorization; expansion=v1,Standard,Algebra Readiness,cn_factorization,factor_structure;structure_recognition,100,Chapter-level expansion from existing cleaned Jian Zi Sheng junior OCR coverage signals. Project-native original-equivalent variants; no direct textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,production
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-02-factorization_009,方程 x^2-3x+0=0 的两个根是多少？,0或3,multiple_choice,A:0|B:1或4|C:0或3|D:0或-3|E:3,4,alg_factoring;alg_quadratics,quadratic_factorization;factor_pair_reasoning,trinomial_factor_pattern;structure_recognition,factor_pair_error;sign_error,该方程可分解为 (x-0)(x-3)=0，所以 x=0 或 x=3。,CN Junior High Math,整式与因式分解,cn-junior-02-factorization,初中因式分解,24028,jianzisheng_cn_junior_chapter_expansion_v1,local-ocr-derived: cn_curriculum_pilot_v0; chapter=cn-junior-02-factorization; expansion=v1,Standard,Algebra Readiness,cn_factorization,factor_structure;structure_recognition,100,Chapter-level expansion from existing cleaned Jian Zi Sheng junior OCR coverage signals. Project-native original-equivalent variants; no direct textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,production
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-02-factorization_010,方程 x^2-6x+5=0 的两个根是多少？,1或5,multiple_choice,A:2或6|B:1或5|C:-1或-5|D:6|E:5,4,alg_factoring;alg_quadratics,quadratic_factorization;factor_pair_reasoning,trinomial_factor_pattern;structure_recognition,factor_pair_error;sign_error,该方程可分解为 (x-1)(x-5)=0，所以 x=1 或 x=5。,CN Junior High Math,整式与因式分解,cn-junior-02-factorization,初中因式分解,24029,jianzisheng_cn_junior_chapter_expansion_v1,local-ocr-derived: cn_curriculum_pilot_v0; chapter=cn-junior-02-factorization; expansion=v1,Standard,Algebra Readiness,cn_factorization,factor_structure;structure_recognition,100,Chapter-level expansion from existing cleaned Jian Zi Sheng junior OCR coverage signals. Project-native original-equivalent variants; no direct textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,production
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-02-factorization_011,方程 x^2-9x+14=0 的两个根是多少？,2或7,multiple_choice,A:2或7|B:-2或-7|C:9|D:14|E:3或8,4,alg_factoring;alg_quadratics,quadratic_factorization;factor_pair_reasoning,trinomial_factor_pattern;structure_recognition,factor_pair_error;sign_error,该方程可分解为 (x-2)(x-7)=0，所以 x=2 或 x=7。,CN Junior High Math,整式与因式分解,cn-junior-02-factorization,初中因式分解,24030,jianzisheng_cn_junior_chapter_expansion_v1,local-ocr-derived: cn_curriculum_pilot_v0; chapter=cn-junior-02-factorization; expansion=v1,Standard,Algebra Readiness,cn_factorization,factor_structure;structure_recognition,100,Chapter-level expansion from existing cleaned Jian Zi Sheng junior OCR coverage signals. Project-native original-equivalent variants; no direct textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,production
