id,statement,answer,answer_type,choices,difficulty,concepts,skills,patterns,misconceptions,solution,course,theme,chapter,chapter_title,sequence,source_collection,source_file,taxonomy_layer,taxonomy_stage,problem_type,cognitive_tags,estimated_time_seconds,notes,language,curriculum_system,region,display_track,grade_band,content_status
cn_jzs_jr_g9_pilot_001,二次函数 $y=1$x^2-4x+3 的对称轴是 x 等于多少？,2,multiple_choice,A:2|B:-2|C:-4|D:3|E:7,4,alg_quadratics;alg_functions,quadratic_axis;formula_application,quadratic_vertex_form;axis_of_symmetry,sign_error;coefficient_confusion,二次函数 y=ax^2+bx+c 的对称轴为 x=-b/(2a)。这里 $a=1$，$b=-4$，所以 $$x=2$$。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-axis,九年级：二次函数对称轴,23000,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0066; pages=161-165; lesson=18; column=thinking_training,Honors,Algebra Readiness,cn_quadratic_axis,formula_selection;symbolic_fluency,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_012,方程 x^2-2x-15=0 的两个根是多少？,-3或5,multiple_choice,A:3或-5|B:2|C:-15|D:-2或6|E:-3或5,4,alg_quadratics;alg_factoring,quadratic_factoring;zero_product_property,factor_to_roots;quadratic_solving,sign_error;sum_product_confusion,该方程可分解为 (x--3)(x-5)=0，所以 $$x=-3$$ 或 $$x=5$$。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-roots,九年级：二次方程因式分解,23011,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0058; pages=140-142; lesson=9; column=thinking_training,Honors,Algebra Readiness,cn_quadratic_factored_roots,factor_structure;symbolic_fluency,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_013,圆中一条弧的度数为 80°，它所对的圆周角是多少度？,40,multiple_choice,A:100|B:50|C:30|D:40|E:80,4,geo_circles;geo_angles,inscribed_angle;angle_relationship,arc_to_inscribed_angle;circle_angle,central_inscribed_confusion;half_angle_error,同弧所对圆周角等于弧度数的一半，所以圆周角为 80°÷2=40°。,CN Junior High Math,圆,cn-junior-g9-circle-inscribed-angle,九年级：圆周角与弧,23012,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0079; pages=196-199; lesson=18; column=thinking_training,Honors,AMC8 Transfer,cn_circle_inscribed_angle,geometric_reasoning;relation_selection,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_014,圆中一条弧的度数为 100°，它所对的圆周角是多少度？,50,multiple_choice,A:60|B:40|C:50|D:100|E:80,4,geo_circles;geo_angles,inscribed_angle;angle_relationship,arc_to_inscribed_angle;circle_angle,central_inscribed_confusion;half_angle_error,同弧所对圆周角等于弧度数的一半，所以圆周角为 100°÷2=50°。,CN Junior High Math,圆,cn-junior-g9-circle-inscribed-angle,九年级：圆周角与弧,23013,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0021; pages=53-55; lesson=6; column=thinking_training,Honors,AMC8 Transfer,cn_circle_inscribed_angle,geometric_reasoning;relation_selection,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_015,圆中一条弧的度数为 120°，它所对的圆周角是多少度？,60,multiple_choice,A:65|B:60|C:120|D:70|E:50,4,geo_circles;geo_angles,inscribed_angle;angle_relationship,arc_to_inscribed_angle;circle_angle,central_inscribed_confusion;half_angle_error,同弧所对圆周角等于弧度数的一半，所以圆周角为 120°÷2=60°。,CN Junior High Math,圆,cn-junior-g9-circle-inscribed-angle,九年级：圆周角与弧,23014,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0025; pages=61-62; lesson=6; column=thinking_training,Honors,AMC8 Transfer,cn_circle_inscribed_angle,geometric_reasoning;relation_selection,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_016,圆中一条弧的度数为 140°，它所对的圆周角是多少度？,70,multiple_choice,A:70|B:140|C:40|D:80|E:60,4,geo_circles;geo_angles,inscribed_angle;angle_relationship,arc_to_inscribed_angle;circle_angle,central_inscribed_confusion;half_angle_error,同弧所对圆周角等于弧度数的一半，所以圆周角为 140°÷2=70°。,CN Junior High Math,圆,cn-junior-g9-circle-inscribed-angle,九年级：圆周角与弧,23015,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0034; pages=77-80; lesson=9; column=thinking_training,Honors,AMC8 Transfer,cn_circle_inscribed_angle,geometric_reasoning;relation_selection,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_017,圆中一条弧的度数为 160°，它所对的圆周角是多少度？,80,multiple_choice,A:160|B:20|C:90|D:70|E:80,4,geo_circles;geo_angles,inscribed_angle;angle_relationship,arc_to_inscribed_angle;circle_angle,central_inscribed_confusion;half_angle_error,同弧所对圆周角等于弧度数的一半，所以圆周角为 160°÷2=80°。,CN Junior High Math,圆,cn-junior-g9-circle-inscribed-angle,九年级：圆周角与弧,23016,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0075; pages=184-187; lesson=18; column=thinking_training,Honors,AMC8 Transfer,cn_circle_inscribed_angle,geometric_reasoning;relation_selection,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_018,圆中一条弧的度数为 70°，它所对的圆周角是多少度？,35,multiple_choice,A:110|B:45|C:25|D:35|E:70,4,geo_circles;geo_angles,inscribed_angle;angle_relationship,arc_to_inscribed_angle;circle_angle,central_inscribed_confusion;half_angle_error,同弧所对圆周角等于弧度数的一半，所以圆周角为 70°÷2=35°。,CN Junior High Math,圆,cn-junior-g9-circle-inscribed-angle,九年级：圆周角与弧,23017,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0084; pages=209-212; lesson=18; column=thinking_training,Honors,AMC8 Transfer,cn_circle_inscribed_angle,geometric_reasoning;relation_selection,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_019,半径为 3 的圆，面积是多少？,9π,multiple_choice,A:18π|B:9|C:9π|D:6π|E:3π,3,geo_circles;geo_area,circle_area;formula_application,area_formula;circle_measurement,circumference_area_confusion;missing_square_error,圆面积公式为 S=πr^2。半径 $r=3$，所以面积为 9π。,CN Junior High Math,圆,cn-junior-g9-circle-area,九年级：圆的面积,23018,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0082; pages=203-207; lesson=18; column=topic_overview,Standard,Bridge,cn_circle_area,formula_selection;fluency_precision,110,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_020,半径为 4 的圆，面积是多少？,16π,multiple_choice,A:16|B:16π|C:8π|D:4π|E:32π,3,geo_circles;geo_area,circle_area;formula_application,area_formula;circle_measurement,circumference_area_confusion;missing_square_error,圆面积公式为 S=πr^2。半径 $r=4$，所以面积为 16π。,CN Junior High Math,圆,cn-junior-g9-circle-area,九年级：圆的面积,23019,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0056; pages=131-135; lesson=9; column=thinking_training,Standard,Bridge,cn_circle_area,formula_selection;fluency_precision,110,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_021,半径为 5 的圆，面积是多少？,25π,multiple_choice,A:25π|B:10π|C:5π|D:50π|E:25,3,geo_circles;geo_area,circle_area;formula_application,area_formula;circle_measurement,circumference_area_confusion;missing_square_error,圆面积公式为 S=πr^2。半径 $r=5$，所以面积为 25π。,CN Junior High Math,圆,cn-junior-g9-circle-area,九年级：圆的面积,23020,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0105; pages=252-257; lesson=12; column=thinking_training,Standard,Bridge,cn_circle_area,formula_selection;fluency_precision,110,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_022,半径为 6 的圆，面积是多少？,36π,multiple_choice,A:12π|B:6π|C:72π|D:36|E:36π,3,geo_circles;geo_area,circle_area;formula_application,area_formula;circle_measurement,circumference_area_confusion;missing_square_error,圆面积公式为 S=πr^2。半径 $r=6$，所以面积为 36π。,CN Junior High Math,圆,cn-junior-g9-circle-area,九年级：圆的面积,23021,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0098; pages=240-243; lesson=4; column=thinking_training,Standard,Bridge,cn_circle_area,formula_selection;fluency_precision,110,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_023,半径为 7 的圆，面积是多少？,49π,multiple_choice,A:7π|B:98π|C:49|D:49π|E:14π,3,geo_circles;geo_area,circle_area;formula_application,area_formula;circle_measurement,circumference_area_confusion;missing_square_error,圆面积公式为 S=πr^2。半径 $r=7$，所以面积为 49π。,CN Junior High Math,圆,cn-junior-g9-circle-area,九年级：圆的面积,23022,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0111; pages=262-267; lesson=19; column=thinking_training,Standard,Bridge,cn_circle_area,formula_selection;fluency_precision,110,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_024,半径为 8 的圆，面积是多少？,64π,multiple_choice,A:128π|B:64|C:64π|D:16π|E:8π,3,geo_circles;geo_area,circle_area;formula_application,area_formula;circle_measurement,circumference_area_confusion;missing_square_error,圆面积公式为 S=πr^2。半径 $r=8$，所以面积为 64π。,CN Junior High Math,圆,cn-junior-g9-circle-area,九年级：圆的面积,23023,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0049; pages=118-120; lesson=9; column=thinking_training,Standard,Bridge,cn_circle_area,formula_selection;fluency_precision,110,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_025,袋中有 3 个红球和 5 个蓝球，随机摸出 1 个球，摸到红球的概率是多少？,3/8,multiple_choice,A:8/3|B:3/8|C:5/8|D:3/5|E:3/3,3,counting_probability;arith_fractions,simple_probability;fraction_simplification,favorable_over_total;single_draw_probability,part_over_other_part_error;denominator_error,总球数为 3+5=8，红球有 3 个，所以概率为 3/8，化简得 3/8。,CN Junior High Math,概率统计,cn-junior-g9-probability-basic,九年级：简单概率,23024,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0053; pages=124-125; lesson=9; column=thinking_training,Standard,AMC8 Transfer,cn_simple_probability,operation_selection;fraction_reasoning,110,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_026,袋中有 4 个红球和 6 个蓝球，随机摸出 1 个球，摸到红球的概率是多少？,2/5,multiple_choice,A:2/5|B:6/10|C:4/6|D:4/4|E:10/4,3,counting_probability;arith_fractions,simple_probability;fraction_simplification,favorable_over_total;single_draw_probability,part_over_other_part_error;denominator_error,总球数为 4+6=10，红球有 4 个，所以概率为 4/10，化简得 2/5。,CN Junior High Math,概率统计,cn-junior-g9-probability-basic,九年级：简单概率,23025,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0078; pages=191-196; lesson=18; column=topic_overview,Standard,AMC8 Transfer,cn_simple_probability,operation_selection;fraction_reasoning,110,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_027,袋中有 2 个红球和 7 个蓝球，随机摸出 1 个球，摸到红球的概率是多少？,2/9,multiple_choice,A:7/9|B:2/7|C:2/2|D:9/2|E:2/9,3,counting_probability;arith_fractions,simple_probability;fraction_simplification,favorable_over_total;single_draw_probability,part_over_other_part_error;denominator_error,总球数为 2+7=9，红球有 2 个，所以概率为 2/9，化简得 2/9。,CN Junior High Math,概率统计,cn-junior-g9-probability-basic,九年级：简单概率,23026,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0080; pages=199-202; lesson=18; column=competition_boost,Standard,AMC8 Transfer,cn_simple_probability,operation_selection;fraction_reasoning,110,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_028,袋中有 5 个红球和 5 个蓝球，随机摸出 1 个球，摸到红球的概率是多少？,1/2,multiple_choice,A:5/5|B:10/5|C:1/2+5|D:1/2|E:5/10,3,counting_probability;arith_fractions,simple_probability;fraction_simplification,favorable_over_total;single_draw_probability,part_over_other_part_error;denominator_error,总球数为 5+5=10，红球有 5 个，所以概率为 5/10，化简得 1/2。,CN Junior High Math,概率统计,cn-junior-g9-probability-basic,九年级：简单概率,23027,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0093; pages=225-229; lesson=18; column=topic_overview,Standard,AMC8 Transfer,cn_simple_probability,operation_selection;fraction_reasoning,110,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_029,袋中有 6 个红球和 9 个蓝球，随机摸出 1 个球，摸到红球的概率是多少？,2/5,multiple_choice,A:6/6|B:15/6|C:2/5|D:9/15|E:6/9,3,counting_probability;arith_fractions,simple_probability;fraction_simplification,favorable_over_total;single_draw_probability,part_over_other_part_error;denominator_error,总球数为 6+9=15，红球有 6 个，所以概率为 6/15，化简得 2/5。,CN Junior High Math,概率统计,cn-junior-g9-probability-basic,九年级：简单概率,23028,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0097; pages=238-240; lesson=3; column=thinking_training,Standard,AMC8 Transfer,cn_simple_probability,operation_selection;fraction_reasoning,110,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_030,袋中有 1 个红球和 4 个蓝球，随机摸出 1 个球，摸到红球的概率是多少？,1/5,multiple_choice,A:5/1|B:1/5|C:4/5|D:1/4|E:1/1,3,counting_probability;arith_fractions,simple_probability;fraction_simplification,favorable_over_total;single_draw_probability,part_over_other_part_error;denominator_error,总球数为 1+4=5，红球有 1 个，所以概率为 1/5，化简得 1/5。,CN Junior High Math,概率统计,cn-junior-g9-probability-basic,九年级：简单概率,23029,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0112; pages=267-270; lesson=22; column=thinking_training,Standard,AMC8 Transfer,cn_simple_probability,operation_selection;fraction_reasoning,110,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_031,一组数据为 4，6，8，10，12，这组数据的平均数是多少？,8,multiple_choice,A:8|B:9|C:7|D:16|E:13,3,stats_mean;arith_natural_numbers,mean_calculation;arithmetic_fluency,sum_divide_count;data_summary,median_mean_confusion;sum_without_dividing,平均数等于总和除以个数。这组数据总和为 40，共有 5 个数，所以平均数为 8。,CN Junior High Math,概率统计,cn-junior-g9-statistics-mean,九年级：平均数,23030,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0089; pages=219-222; lesson=18; column=worked_example,Standard,Bridge,cn_statistics_mean,fluency_precision;data_reasoning,110,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
