id,statement,answer,answer_type,choices,difficulty,concepts,skills,patterns,misconceptions,solution,course,theme,chapter,chapter_title,sequence,source_collection,source_file,taxonomy_layer,taxonomy_stage,problem_type,cognitive_tags,estimated_time_seconds,notes,language,curriculum_system,region,display_track,grade_band,content_status
cn_jzs_jr_g7_b4_011,化简：-3(-2x+4)-5，结果是多少？,6x-17,multiple_choice,A:6x-17|B:6x-1|C:-5x-17|D:6x|E:-17,4,prealg_simplification;prealg_expressions,two_step_simplification;distributive_property,distribute_then_combine;expression_simplification,partial_distribution_error;constant_combination_error,先用分配律去括号，再合并常数项，结果是 6x-17。,CN Junior High Math,整式,cn-junior-g7-two-step-simplification,七年级：整式两步化简,21310,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0006; pages=22-27; lesson=2; column=competition_boost,Honors,Bridge,cn_two_step_expression_simplification,symbolic_fluency;operation_selection,130,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_012,化简：4(3x-1)+8，结果是多少？,12x+4,multiple_choice,A:12x+7|B:7x+4|C:12x|D:4|E:12x+4,4,prealg_simplification;prealg_expressions,two_step_simplification;distributive_property,distribute_then_combine;expression_simplification,partial_distribution_error;constant_combination_error,先用分配律去括号，再合并常数项，结果是 12x+4。,CN Junior High Math,整式,cn-junior-g7-two-step-simplification,七年级：整式两步化简,21311,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0093; pages=276-277; lesson=2; column=thinking_training,Honors,Bridge,cn_two_step_expression_simplification,symbolic_fluency;operation_selection,130,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_013,解比例：2:5=x:20，x 的值是多少？,8,multiple_choice,A:50|B:10|C:6|D:8|E:22,4,arith_ratios;arith_proportions;alg_linear_equations,proportion_solving;cross_multiplication,missing_ratio_value;proportion_equation,inverse_ratio_error;cross_multiplication_error,比例 2:5=x:20 可写成 2/5=x/20，所以 $x=2$×20÷5=8。,CN Junior High Math,方程与比例,cn-junior-g7-proportion-equations,七年级：比例方程,21312,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0019; pages=68-70; lesson=6; column=competition_boost,Honors,Algebra Readiness,cn_g7_proportion_equation,multiplicative_reasoning;inverse_operations,130,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_014,解比例：3:4=x:28，x 的值是多少？,21,multiple_choice,A:23|B:19|C:21|D:31|E:37,4,arith_ratios;arith_proportions;alg_linear_equations,proportion_solving;cross_multiplication,missing_ratio_value;proportion_equation,inverse_ratio_error;cross_multiplication_error,比例 3:4=x:28 可写成 3/4=x/28，所以 $x=3$×28÷4=21。,CN Junior High Math,方程与比例,cn-junior-g7-proportion-equations,七年级：比例方程,21313,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0026; pages=85-86; lesson=8; column=competition_boost,Honors,Algebra Readiness,cn_g7_proportion_equation,multiplicative_reasoning;inverse_operations,130,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_015,解比例：5:6=x:18，x 的值是多少？,15,multiple_choice,A:13|B:15|C:23|D:22|E:17,4,arith_ratios;arith_proportions;alg_linear_equations,proportion_solving;cross_multiplication,missing_ratio_value;proportion_equation,inverse_ratio_error;cross_multiplication_error,比例 5:6=x:18 可写成 5/6=x/18，所以 $x=5$×18÷6=15。,CN Junior High Math,方程与比例,cn-junior-g7-proportion-equations,七年级：比例方程,21314,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0075; pages=224-226; lesson=22; column=thinking_training,Honors,Algebra Readiness,cn_g7_proportion_equation,multiplicative_reasoning;inverse_operations,130,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_016,解比例：4:7=x:35，x 的值是多少？,20,multiple_choice,A:20|B:39|C:61|D:22|E:18,4,arith_ratios;arith_proportions;alg_linear_equations,proportion_solving;cross_multiplication,missing_ratio_value;proportion_equation,inverse_ratio_error;cross_multiplication_error,比例 4:7=x:35 可写成 4/7=x/35，所以 $x=4$×35÷7=20。,CN Junior High Math,方程与比例,cn-junior-g7-proportion-equations,七年级：比例方程,21315,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0022; pages=77-78; lesson=6; column=competition_boost,Honors,Algebra Readiness,cn_g7_proportion_equation,multiplicative_reasoning;inverse_operations,130,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_017,解比例：6:5=x:25，x 的值是多少？,30,multiple_choice,A:31|B:21|C:32|D:28|E:30,4,arith_ratios;arith_proportions;alg_linear_equations,proportion_solving;cross_multiplication,missing_ratio_value;proportion_equation,inverse_ratio_error;cross_multiplication_error,比例 6:5=x:25 可写成 6/5=x/25，所以 $x=6$×25÷5=30。,CN Junior High Math,方程与比例,cn-junior-g7-proportion-equations,七年级：比例方程,21316,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0030; pages=93-94; lesson=9; column=competition_boost,Honors,Algebra Readiness,cn_g7_proportion_equation,multiplicative_reasoning;inverse_operations,130,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_018,解比例：7:3=x:12，x 的值是多少？,28,multiple_choice,A:5|B:30|C:26|D:28|E:19,4,arith_ratios;arith_proportions;alg_linear_equations,proportion_solving;cross_multiplication,missing_ratio_value;proportion_equation,inverse_ratio_error;cross_multiplication_error,比例 7:3=x:12 可写成 7/3=x/12，所以 $x=7$×12÷3=28。,CN Junior High Math,方程与比例,cn-junior-g7-proportion-equations,七年级：比例方程,21317,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0034; pages=101-102; lesson=9; column=competition_boost,Honors,Algebra Readiness,cn_g7_proportion_equation,multiplicative_reasoning;inverse_operations,130,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_019,每本练习册 8 元，另需运费 5 元。总费用不超过 45 元，最多可以买几本？,5,multiple_choice,A:7|B:10|C:5|D:6|E:4,4,alg_linear_inequalities;prealg_word_to_equation,inequality_modeling;budget_constraint,at_most_context;linear_inequality_word_problem,inequality_direction_error;missing_fixed_fee,设买 x 本，列不等式 8x+5≤45，解得 x≤5。最多可以买 5 本。,CN Junior High Math,不等式,cn-junior-g7-inequality-applications,七年级：一元一次不等式应用,21318,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0051; pages=162-164; lesson=15; column=competition_boost,Honors,Algebra Readiness,cn_g7_inequality_word_problem,modeling;relation_reasoning,130,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_020,每本练习册 6 元，另需运费 4 元。总费用不超过 40 元，最多可以买几本？,6,multiple_choice,A:11|B:6|C:7|D:5|E:8,4,alg_linear_inequalities;prealg_word_to_equation,inequality_modeling;budget_constraint,at_most_context;linear_inequality_word_problem,inequality_direction_error;missing_fixed_fee,设买 x 本，列不等式 6x+4≤40，解得 x≤6。最多可以买 6 本。,CN Junior High Math,不等式,cn-junior-g7-inequality-applications,七年级：一元一次不等式应用,21319,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0060; pages=193-194; lesson=16; column=competition_boost,Honors,Algebra Readiness,cn_g7_inequality_word_problem,modeling;relation_reasoning,130,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_021,每本练习册 7 元，另需运费 9 元。总费用不超过 51 元，最多可以买几本？,6,multiple_choice,A:6|B:7|C:5|D:8|E:11,4,alg_linear_inequalities;prealg_word_to_equation,inequality_modeling;budget_constraint,at_most_context;linear_inequality_word_problem,inequality_direction_error;missing_fixed_fee,设买 x 本，列不等式 7x+9≤51，解得 x≤6。最多可以买 6 本。,CN Junior High Math,不等式,cn-junior-g7-inequality-applications,七年级：一元一次不等式应用,21320,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0066; pages=203-203; lesson=16; column=worked_example,Honors,Algebra Readiness,cn_g7_inequality_word_problem,modeling;relation_reasoning,130,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_022,每本练习册 5 元，另需运费 3 元。总费用不超过 38 元，最多可以买几本？,7,multiple_choice,A:8|B:6|C:9|D:12|E:7,4,alg_linear_inequalities;prealg_word_to_equation,inequality_modeling;budget_constraint,at_most_context;linear_inequality_word_problem,inequality_direction_error;missing_fixed_fee,设买 x 本，列不等式 5x+3≤38，解得 x≤7。最多可以买 7 本。,CN Junior High Math,不等式,cn-junior-g7-inequality-applications,七年级：一元一次不等式应用,21321,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0065; pages=202-203; lesson=16; column=competition_boost,Honors,Algebra Readiness,cn_g7_inequality_word_problem,modeling;relation_reasoning,130,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_023,每本练习册 9 元，另需运费 2 元。总费用不超过 65 元，最多可以买几本？,7,multiple_choice,A:6|B:9|C:12|D:7|E:8,4,alg_linear_inequalities;prealg_word_to_equation,inequality_modeling;budget_constraint,at_most_context;linear_inequality_word_problem,inequality_direction_error;missing_fixed_fee,设买 x 本，列不等式 9x+2≤65，解得 x≤7。最多可以买 7 本。,CN Junior High Math,不等式,cn-junior-g7-inequality-applications,七年级：一元一次不等式应用,21322,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0073; pages=221-222; lesson=16; column=competition_boost,Honors,Algebra Readiness,cn_g7_inequality_word_problem,modeling;relation_reasoning,130,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_024,每本练习册 4 元，另需运费 6 元。总费用不超过 34 元，最多可以买几本？,7,multiple_choice,A:9|B:12|C:7|D:8|E:6,4,alg_linear_inequalities;prealg_word_to_equation,inequality_modeling;budget_constraint,at_most_context;linear_inequality_word_problem,inequality_direction_error;missing_fixed_fee,设买 x 本，列不等式 4x+6≤34，解得 x≤7。最多可以买 7 本。,CN Junior High Math,不等式,cn-junior-g7-inequality-applications,七年级：一元一次不等式应用,21323,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0078; pages=229-231; lesson=22; column=competition_boost,Honors,Algebra Readiness,cn_g7_inequality_word_problem,modeling;relation_reasoning,130,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_025,"点 P(2,3) 位于哪里？",第一象限,multiple_choice,A:x轴上|B:第一象限|C:第二象限|D:第三象限|E:第四象限,3,geo_coordinate_geometry;alg_graphing,coordinate_quadrant;signed_number_interpretation,point_location;coordinate_plane,coordinate_order_error;axis_quadrant_confusion,"根据横坐标和纵坐标的符号判断位置。点 (2,3) 位于第一象限。",CN Junior High Math,平面直角坐标系,cn-junior-g7-coordinate-plane,七年级：平面直角坐标系初步,21324,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0090; pages=266-270; lesson=25; column=competition_boost,Standard,Algebra Readiness,cn_g7_coordinate_quadrant,spatial_reasoning;signed_number_fluency,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_026,"点 P(-4,5) 位于哪里？",第二象限,multiple_choice,A:第二象限|B:第一象限|C:第三象限|D:第四象限|E:x轴上,3,geo_coordinate_geometry;alg_graphing,coordinate_quadrant;signed_number_interpretation,point_location;coordinate_plane,coordinate_order_error;axis_quadrant_confusion,"根据横坐标和纵坐标的符号判断位置。点 (-4,5) 位于第二象限。",CN Junior High Math,平面直角坐标系,cn-junior-g7-coordinate-plane,七年级：平面直角坐标系初步,21325,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0091; pages=270-275; lesson=25; column=competition_boost,Standard,Algebra Readiness,cn_g7_coordinate_quadrant,spatial_reasoning;signed_number_fluency,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_027,"点 P(-3,-2) 位于哪里？",第三象限,multiple_choice,A:第一象限|B:第二象限|C:第四象限|D:x轴上|E:第三象限,3,geo_coordinate_geometry;alg_graphing,coordinate_quadrant;signed_number_interpretation,point_location;coordinate_plane,coordinate_order_error;axis_quadrant_confusion,"根据横坐标和纵坐标的符号判断位置。点 (-3,-2) 位于第三象限。",CN Junior High Math,平面直角坐标系,cn-junior-g7-coordinate-plane,七年级：平面直角坐标系初步,21326,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0058; pages=190-191; lesson=16; column=worked_example,Standard,Algebra Readiness,cn_g7_coordinate_quadrant,spatial_reasoning;signed_number_fluency,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_028,"点 P(6,-1) 位于哪里？",第四象限,multiple_choice,A:第二象限|B:第三象限|C:x轴上|D:第四象限|E:第一象限,3,geo_coordinate_geometry;alg_graphing,coordinate_quadrant;signed_number_interpretation,point_location;coordinate_plane,coordinate_order_error;axis_quadrant_confusion,"根据横坐标和纵坐标的符号判断位置。点 (6,-1) 位于第四象限。",CN Junior High Math,平面直角坐标系,cn-junior-g7-coordinate-plane,七年级：平面直角坐标系初步,21327,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0048; pages=151-154; lesson=13; column=competition_boost,Standard,Algebra Readiness,cn_g7_coordinate_quadrant,spatial_reasoning;signed_number_fluency,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_029,"点 P(0,7) 位于哪里？",y轴上,multiple_choice,A:第三象限|B:第四象限|C:y轴上|D:第一象限|E:第二象限,3,geo_coordinate_geometry;alg_graphing,coordinate_quadrant;signed_number_interpretation,point_location;coordinate_plane,coordinate_order_error;axis_quadrant_confusion,"根据横坐标和纵坐标的符号判断位置。点 (0,7) 位于y轴上。",CN Junior High Math,平面直角坐标系,cn-junior-g7-coordinate-plane,七年级：平面直角坐标系初步,21328,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0052; pages=164-168; lesson=15; column=competition_boost,Standard,Algebra Readiness,cn_g7_coordinate_quadrant,spatial_reasoning;signed_number_fluency,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_030,"点 P(-5,0) 位于哪里？",x轴上,multiple_choice,A:第四象限|B:x轴上|C:第一象限|D:第二象限|E:第三象限,3,geo_coordinate_geometry;alg_graphing,coordinate_quadrant;signed_number_interpretation,point_location;coordinate_plane,coordinate_order_error;axis_quadrant_confusion,"根据横坐标和纵坐标的符号判断位置。点 (-5,0) 位于x轴上。",CN Junior High Math,平面直角坐标系,cn-junior-g7-coordinate-plane,七年级：平面直角坐标系初步,21329,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0074; pages=222-224; lesson=16; column=competition_boost,Standard,Algebra Readiness,cn_g7_coordinate_quadrant,spatial_reasoning;signed_number_fluency,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_031,两个邻补角中，一个角为 2x+20 度，另一个角为 60 度。求 x。,50,multiple_choice,A:50|B:51|C:49|D:80|E:-50,4,geo_angles;alg_linear_equations,angle_equation;linear_equation_solving,geometry_to_equation;supplementary_angle_equation,angle_sum_error;equation_setup_error,邻补角和为 180°，所以 2x+20+60=180，解得 $x=50$。,CN Junior High Math,基础几何,cn-junior-g7-angle-equations,七年级：角度方程,21330,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0081; pages=238-238; lesson=22; column=competition_boost,Honors,Algebra Readiness,cn_g7_angle_equation,modeling;geometric_reasoning,130,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_032,两个邻补角中，一个角为 3x+15 度，另一个角为 60 度。求 x。,35,multiple_choice,A:36|B:34|C:55|D:-35|E:35,4,geo_angles;alg_linear_equations,angle_equation;linear_equation_solving,geometry_to_equation;supplementary_angle_equation,angle_sum_error;equation_setup_error,邻补角和为 180°，所以 3x+15+60=180，解得 $x=35$。,CN Junior High Math,基础几何,cn-junior-g7-angle-equations,七年级：角度方程,21331,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0083; pages=240-242; lesson=22; column=competition_boost,Honors,Algebra Readiness,cn_g7_angle_equation,modeling;geometric_reasoning,130,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
